18.00  18.00  18.00  18.00  18.00  18.00  18.00  18.00
15.00  15.00  15.00  15.00  15.00  15.00  15.00  15.00
15.00  15.00  15.00  15.00  15.00  15.00  15.00  15.00
15.00  15.00  15.00  15.00  15.00  15.00  15.00  15.00
12.00  12.00  12.00  12.00  12.00  12.00  12.00  12.00

12.00  12.00  12.00  12.00  12.00  12.00  12.00  12.00
12.00  12.00  12.00  12.00  12.00  12.00  12.00  12.00
12.00  12.00  12.00  12.00  12.00  12.00  12.00  12.00
10.00  10.00  10.00  10.00  10.00  10.00  10.00  10.00
10.00  10.00  10.00  10.00  10.00  10.00  10.00  10.00

 8.00   8.00  10.00  10.00  10.00  10.00   8.00   8.00
 8.00   8.00  10.00  10.00  10.00  10.00   8.00   8.00
 5.00   5.00   8.00   8.00   8.00   8.00   5.00   5.00
 5.00   5.00   8.00   8.00   8.00   8.00   5.00   5.00
 5.00   5.00   8.00   8.00   8.00   8.00   5.00   5.00
